"Аджила Спесиалтис Пвт. Лтд. для ""ААР Фарма Лтд"", "
"Акумс Драгс энд Фармасьютикалс Лтд для ""М. Биотек Лтд."""
"Акумс Драгс энд Фармасьютикалс Лтд для ""Мили Хелскере Лтд"", "
"Акумс Драгс энд Фармасьютикалс Лтд для ""Ротек Лтд."" "
"Амджен Мануфекчуринг Лтд для ""ГлаксоСмитКляйн"", Пуэрто-Рико, "
АрПиДжи Лайф Саенсез Лтд, для Мили Хелскер Лтд, 
АстраЗенека Лтд, 
"Аэсика Квинборо Лтд для ""Аббот Лабораториз С.А."", "
"Байодженикс Лтд. для ""Ротек Лтд"", "
Бакстер Хелскеа Лтд, 
"Бафна Фармасьютикалз Лтд для ""М. Биотек Лтд"", "
"Белко Фарма для ""Ротек Лтд"", "
"Белл Санз & Ко. (Драггистс) Лтд. для ""Евро Лайфкер Лтд"", "
Биоген Айдек Мануфактуринг АпС, 
Биолитек Фарма Лтд, 
"Биомед С. А., ИБСВ для ""Ротафарм Лтд"", "
"Биофарма Илач Сан.ве Тидж. А.Ш. для ""Роттафарм Лтд"", "
"Биофарма Илач Сан.ве Тидж. А.Ш. для ""Уорлд Медицин Лтд"", "
"Біодил Лабораториз Пвт. Лтд для ""Євро Лайфкер Лтд "", "
"Блис ГВС Фарма Лтд, для ""Мили Хелскере Лтд"", "
"Блисс Биотек Пвт. Лтд. для ""Энесс Хелскер ЛЛП"", "
"Браун Лабораториес Лтд для ""Ротек Лтд"", "
"Браун Лабораториес Лтд/Белко Фарма для ""Ротек Лтд"", "
"Бристол-Майерс Сквибб Компани С.р.л. для ""АстраЗенека ЮК Лтд"", "
"Вает Фармасеутикалс для ""Пфайзер Эйч. Си. Пи. Корпорейшн"", "
"Венус Ремедис Лтд для ""Мили Хелскере Лтд"", "
"Вивимед Лабс Лтд для ""Ротек Лтд"", "
Витабиотикс Лтд, 
"Генрих Мак Начф. ГмбХ & Ко. КГ для ""МакНил Продактс Лтд"", "
"Гимансу Оверсиз для ""Ананта Медикеар Лтд"", "
Глаксо Оперейшнс ЮК Лтд,
ГлаксоСмитКляйн Дангарван Лтд., 
"ГлаксоСмитКляйн Инк. для ""ВииВ Хелскер ЮК Лтд"" "
ГлаксоСмитКляйн С.А.Э., 
"Дженерал Хоспител Продактс Паблик Ко., Лтд для ""Еврофарм(ЮК)"", "
Джензайм Ирланд Лтд., 
"ДженСайнс Фармасьютикалз Ко. Лтд для ""Еврофарм (ЮК) Ко Лтд"", "
"Джубилант ХоллистерСтер ЛЛС для ""Био""Марин Юроуп Лтд"", "
"Джубилент ХоллистерСтиер Дженерал Парт., для ""ГлаксоСмитКляйн Экспорт Лтд"", "
"ЗМ Хелс Кеа Лтд для ""Меда АБ"", "
"Каталент Джермани Шорндорф ГмбХ для ""ГлаксоСмитКляйн Экспорт Лтд"", "
"Каталент Фарма Солюшнз ЛЛС/Аэсика Квинборо Лтд для ""Аббот Лабораториз С.А."", "
"Каталент Ю.К. для ""Ферринг Интернешнл Сентер СА"", "
"Каталент Ю.К. для ""Эли Лилли Недерленд Б.В., "
"КИК Кастом Продактс для ""МакНил Продактс Лтд"","
"Корден Фарма С.п.А. для ""АстраЗенека ЮК Лтд"", "
"Лаб. Бейли-Креат для ""Уорлд Медицин"", "
"Лаб. Бельмак С.аА. для ""Озон Лаб. Лтд."", "
"Лайфкеа Инновейшнз Пвт. Лтд, для ""Мили Хелскере Лтд."", "
"Лимак Хелтхкер Пвт. Лтд/Эрика Фарма для ""Евро Лайфкер Лтд"", "
"Макс Зеллер Сохн АГ для ""ГлаксоСмитКляйн"", "
"Марк Фармасьютикс для ""Озон Лаб."", "
"Марксанс Фарма Лтд для ""Ананта Медикеар Лтд"","
"Марксанс Фарма Лтд для ""Евро Лайфкер"", "
Ментолатум Комп. Лтд, 
"Мепро Фармасютикалз Пвт. Лтд. для ""Мили Хелскер "", "
"Микро Лабс Лтд для ""Алексфарм ГмбХ Лтд"", "
"Н.В. Ремедис Приват Лтд. для ""Мили Хелскере Лтд"", "
Наброс Фарма Пвт. Лтд.,
"Напрод Лайф Саинсис Пвт. Лтд. для ""М. Биотек Лтд."", "
Насалезэ Лтд, 
Новахим Индастри Лтд, 
Норжин Лтд, 
"Онко Терапиз Лтд. для ""ГлаксоСмитКляйн Экспорт"", "
"Онко Терапиз Лтд. для ""М. Биотек Лтд"", "
"Перкос Индия Пвт. Лтд. для ""Мили Хелскер Лтд."", "
"Присайс Биофарм Пвт. Лтд для ""М. Биотек Лтд "", "
"Присайс Биофарм Пвт. Лтд/Марксанс Фарма Лтд для ""Евро Лайфкер Лтд "", "
"Присайс Биофарма Пвт для ""Медикос Лтд"", "
"Пфайзер Менюфекчуринг Дойчленд ГмбХ для ""ВииВ Хелскер ЮК, Лтд"", "
"Рафтон Лабораториз Лтд для ""ГлаксоСмитКлайн Консьюмер Хелскер"","
"Рафтон Лабораториз Лтд для ""Проктер энд Гембл Интернешнл"","
Реккитт Бенкизер Хелскер Лтд., 
"Ривофарм, СА для ""Ротафарм Лтд"", "
"Ромфарм Компани С.Р.Л. для ""Ротафарм Лтд"","
"Ромфарм Компани С.Р.Л. для ""Уорлд Медицин Офтальмикс"", "
"Самруд Фармасьютикалз Пвт. Лтд. для ""Кей Джи Пи Лаб. (Ю кей) Лтд"", "
"Самруд Фармасьютикалз Пвт. Лтд. для ""М. Биотек Лтд."", "
"Санофи-Синтелабо Лтд для ""Санофи-Авентис Украина, ООО"", "
Санофи-Синтелабо Лтд.,
СвиссКо Сервисез АГ/РАД Неурим Фармасьютикалс ЭЭС Лтд, 
"Славия Фарм С.Р.Л., К.О. для ""Уорлд Медицин Лтд"", "
СмитКляйн Бичем Фарма, 
СмитКляйн Бичем Фарма, 
СТД Фармасьютикел Продактс Лтд., 
"Сурья Хербел Лтд для ""Мили Хелскере Лтд."","
Такеда Глобал Рисерч энд Девелопмент Сентрэ Лтд, 
ТЕВА Фармацевтикал Индастриз Лтд./ТЕВА ФЗ, АО,
"Темис Медикаре Лтд. для ""Мили Хелскере Лтд"", "
Торнтон энд Росс Лтд, 
"Торрент Фармасьютикалс Лтд для ""АстраЗенека ЮК Лтд"", "
"Фабиол С.А. для ""Озон Лаб."", "
"Фамар Орлеан для ""МакНил Продактс Лтд"","
"Фарбил Уолтроп ГмбХ для ""НекстФарма Технолоджис"", "
"ФДС ЛТД для ""Евро Лайфкер Лтд "", "
"Флит Лаборатория Лтд для ""Дельта Медикел Промоушнз АГ"", "
"Флит Лаборатория Лтд для ""Мерк Сероно С.А."", "
Форест Лабораториз ЮК Лтд., 
"Хайтек Фармасьютикалз Пвт. Лтд для ""Мили Хелскер Лтд"", "
"Харбин Фармасьютикал Групп Ко. для ""Новахим Индастриз Лтд"", "
"Хоспира ЮК Лтд для ""Алвоген ИПКО С.АР.Л"", "
"Шенджен Текдоу Фарма для ""Новахим Индастриз Лтд"" "
"Юнимакс Лаб./Мепро Фарм. Пвт. для ""Мили Хелскер Лтд"", "
"Юнимакс Лаб./Темис Медикаре Лтд. для ""Мили Хелскер Лтд"", "
"Янссен Силаг С.п.А. для ""МакНил Продактс Лтд"", "
"Янссен Силаг С.п.А./Каталент ЮК для ""МакНил Продактс"", "
